Number of Records,Year,CDE_Energy_Values,Countries
1,1965,259.855544678,Canada
1,1965,62.123770462,Mexico
1,1965,3480.084706022,US
1,1965,77.224567078,Argentina
1,1965,51.4787208,Brazil
1,1965,16.704365295,Chile
1,1965,21.308531378,Colombia
1,1965,2.06851262,Ecuador
1,1965,12.529141819,Peru
1,1965,7.782744708,Trinidad & Tobago
1,1965,43.711532699,Venezuela
1,1965,39.529178253,Austria
1,1965,124.855763885,Belgium
1,1965,36.744213234,Bulgaria
1,1965,,Croatia
1,1965,1.213839504,Cyprus
1,1965,156.20148919,Czech Republic
1,1965,47.709174563,Denmark
1,1965,,Estonia
1,1965,24.778171046,Finland
1,1965,328.316271488,France
1,1965,909.716393292,Germany
1,1965,22.511974958,Greece
1,1965,59.50537684,Hungary
1,1965,1.49721614,Iceland
1,1965,19.982601367,Ireland
1,1965,204.869263578,Italy
1,1965,,Latvia
1,1965,,Lithuania
1,1965,13.383890546,Luxembourg
1,1965,112.976274495,Netherlands
1,1965,,North Macedonia
1,1965,17.714317664,Norway
1,1965,252.960256108,Poland
1,1965,10.523820748,Portugal
1,1965,68.05232687,Romania
1,1965,31.050590202,Slovakia
1,1965,,Slovenia
1,1965,80.433101441,Spain
1,1965,68.782632872,Sweden
1,1965,29.234076969,Switzerland
1,1965,25.139512836,Turkey
1,1965,,Ukraine
1,1965,687.802078707,United Kingdom
1,1965,,Azerbaijan
1,1965,,Belarus
1,1965,,Kazakhstan
1,1965,,Russian Federation
1,1965,,Turkmenistan
1,1965,1907.257779606,USSR
1,1965,,Uzbekistan
1,1965,21.808839548,Iran
1,1965,5.11638463,Iraq
1,1965,11.862779593,Israel
1,1965,17.127525329,Kuwait
1,1965,1.404472006,Oman
1,1965,0.308025093,Qatar
1,1965,62.48992785,Saudi Arabia
1,1965,0.221639687,United Arab Emirates
1,1965,5.568752776,Algeria
1,1965,22.901558259,Egypt
1,1965,3.776527599,Morocco
1,1965,115.226741079,South Africa
1,1965,26.822665419,Eastern Africa
1,1965,113.833675221,Australia
1,1965,,Bangladesh
1,1965,488.525418921,China
1,1965,7.134407963,China Hong Kong SAR
1,1965,167.716820293,India
1,1965,20.140745721,Indonesia
1,1965,446.770659998,Japan
1,1965,7.01651593,Malaysia
1,1965,15.04721161,New Zealand
1,1965,19.504690555,Pakistan
1,1965,13.209439859,Philippines
1,1965,13.09258056,Singapore
1,1965,24.872369873,South Korea
1,1965,1.45505952,Sri Lanka
1,1965,18.847525608,Taiwan
1,1965,7.366885964,Thailand
1,1965,8.226465483,Vietnam
1,1966,271.06786521,Canada
1,1966,65.046012478,Mexico
1,1966,3675.466374394,US
1,1966,79.461008378,Argentina
1,1966,56.114605058,Brazil
1,1966,17.923390656,Chile
1,1966,23.052586739,Colombia
1,1966,2.150559379,Ecuador
1,1966,15.395373487,Peru
1,1966,8.142231184,Trinidad & Tobago
1,1966,44.001759374,Venezuela
1,1966,39.819095865,Austria
1,1966,118.625496481,Belgium
1,1966,39.21066618,Bulgaria
1,1966,,Croatia
1,1966,1.345540419,Cyprus
1,1966,156.969630511,Czech Republic
1,1966,54.281656356,Denmark
1,1966,,Estonia
1,1966,28.149068502,Finland
1,1966,329.231441353,France
1,1966,900.194429094,Germany
1,1966,23.73047464,Greece
1,1966,59.350891376,Hungary
1,1966,1.602679412,Iceland
1,1966,22.673314217,Ireland
1,1966,222.681442583,Italy
1,1966,,Latvia
1,1966,,Lithuania
1,1966,12.704714323,Luxembourg
1,1966,117.761198445,Netherlands
1,1966,,North Macedonia
1,1966,19.417246616,Norway
1,1966,257.243613268,Poland
1,1966,10.75980392,Portugal
1,1966,72.519285335,Romania
1,1966,32.071468105,Slovakia
1,1966,,Slovenia
1,1966,84.7157566,Spain
1,1966,76.062603251,Sweden
1,1966,29.655173336,Switzerland
1,1966,28.955481832,Turkey
1,1966,,Ukraine
1,1966,680.671670324,United Kingdom
1,1966,,Azerbaijan
1,1966,,Belarus
