Number of Records,Year_Coal,Value_Coal,Countries
1,01/01/1965,15.476,Canada
1,01/01/1965,0.689786949,Mexico
1,01/01/1965,277.235092073,US
1,01/01/1965,0.727003369,Argentina
1,01/01/1965,1.735,Brazil
1,01/01/1965,1.165,Chile
1,01/01/1965,2.014,Colombia
1,01/01/1965,0,Ecuador
1,01/01/1965,0.036088263,Peru
1,01/01/1965,0,Trinidad & Tobago
1,01/01/1965,0.02,Venezuela
1,01/01/1965,5.082966445,Austria
1,01/01/1965,19.16914485,Belgium
1,01/01/1965,5.996,Bulgaria
1,01/01/1965,0,Croatia
1,01/01/1965,0,Cyprus
1,01/01/1965,35.326,Czech Republic
1,01/01/1965,3.6981,Denmark
1,01/01/1965,0,Estonia
1,01/01/1965,1.742031,Finland
1,01/01/1965,41.370201239,France
1,01/01/1965,160.746047927,Germany
1,01/01/1965,2.107,Greece
1,01/01/1965,10.91,Hungary
1,01/01/1965,0.006536616,Iceland
1,01/01/1965,3.126,Ireland
1,01/01/1965,8.626,Italy
1,01/01/1965,0,Latvia
1,01/01/1965,,Lithuania
1,01/01/1965,2.7271,Luxembourg
1,01/01/1965,8.861182765,Netherlands
1,01/01/1965,0,North Macedonia
1,01/01/1965,0.763321,Norway
1,01/01/1965,59.481,Poland
1,01/01/1965,0.592,Portugal
1,01/01/1965,4.35962628,Romania
1,01/01/1965,6.038740763,Slovakia
1,01/01/1965,0,Slovenia
1,01/01/1965,9.7,Spain
1,01/01/1965,2.229325,Sweden
1,01/01/1965,1.275437088,Switzerland
1,01/01/1965,3.67,Turkey
1,01/01/1965,0,Ukraine
1,01/01/1965,117.397,United Kingdom
1,01/01/1965,,Azerbaijan
1,01/01/1965,,Belarus
1,01/01/1965,,Kazakhstan
1,01/01/1965,,Russian Federation
1,01/01/1965,,Turkmenistan
1,01/01/1965,297.43665353,USSR
1,01/01/1965,,Uzbekistan
1,01/01/1965,0.211,Iran
1,01/01/1965,0,Iraq
1,01/01/1965,0,Israel
1,01/01/1965,0,Kuwait
1,01/01/1965,0,Oman
1,01/01/1965,0,Qatar
1,01/01/1965,0,Saudi Arabia
1,01/01/1965,0,United Arab Emirates
1,01/01/1965,0.07,Algeria
1,01/01/1965,0.403,Egypt
1,01/01/1965,0.235,Morocco
1,01/01/1965,24.657,South Africa
1,01/01/1965,2.585432789,Eastern Africa
1,01/01/1965,17.371262062,Australia
1,01/01/1965,0,Bangladesh
1,01/01/1965,114.42,China
1,01/01/1965,0.123,China Hong Kong SAR
1,01/01/1965,35.546633803,India
1,01/01/1965,0.129,Indonesia
1,01/01/1965,48.7122,Japan
1,01/01/1965,0.015,Malaysia
1,01/01/1965,1.645,New Zealand
1,01/01/1965,1.379,Pakistan
1,01/01/1965,0.044327,Philippines
1,01/01/1965,0.004,Singapore
1,01/01/1965,4.952,South Korea
