Number of Records,Gas_Year,Gas_Values,Countries
1,01/01/1965,18.631489682,Canada
1,01/01/1965,6.934384007,Mexico
1,01/01/1965,357.627351814,US
1,01/01/1965,3.545485813,Argentina
1,01/01/1965,0.044146305,Brazil
1,01/01/1965,0.531195185,Chile
1,01/01/1965,0.76966896,Colombia
1,01/01/1965,0,Ecuador
1,01/01/1965,0.314488392,Peru
1,01/01/1965,1.052,Trinidad & Tobago
1,01/01/1965,6.464342218,Venezuela
1,01/01/1965,1.507192339,Austria
1,01/01/1965,0.063198624,Belgium
1,01/01/1965,0.048385641,Bulgaria
1,01/01/1965,0,Croatia
1,01/01/1965,0,Cyprus
1,01/01/1965,0.368916595,Czech Republic
1,01/01/1965,0,Denmark
1,01/01/1965,0,Estonia
1,01/01/1965,0,Finland
1,01/01/1965,4.303267,France
1,01/01/1965,2.663428513,Germany
1,01/01/1965,0,Greece
1,01/01/1965,1.169153052,Hungary
1,01/01/1965,0,Iceland
1,01/01/1965,0,Ireland
1,01/01/1965,6.341100602,Italy
1,01/01/1965,0,Latvia
1,01/01/1965,0,Lithuania
1,01/01/1965,0,Luxembourg
1,01/01/1965,1.289767842,Netherlands
1,01/01/1965,0,North Macedonia
1,01/01/1965,0,Norway
1,01/01/1965,1.473086844,Poland
1,01/01/1965,0,Portugal
1,01/01/1965,12.079988844,Romania
1,01/01/1965,0.256689596,Slovakia
1,01/01/1965,0,Slovenia
1,01/01/1965,0,Spain
1,01/01/1965,0,Sweden
1,01/01/1965,0,Switzerland
1,01/01/1965,0,Turkey
1,01/01/1965,0,Ukraine
1,01/01/1965,0.739,United Kingdom
1,01/01/1965,,Azerbaijan
1,01/01/1965,,Belarus
1,01/01/1965,,Kazakhstan
1,01/01/1965,,Russian Federation
1,01/01/1965,,Turkmenistan
1,01/01/1965,104.622379342,USSR
1,01/01/1965,,Uzbekistan
1,01/01/1965,0.671821061,Iran
1,01/01/1965,0.406792777,Iraq
1,01/01/1965,0.06331896,Israel
1,01/01/1965,1.48422184,Kuwait
1,01/01/1965,0,Oman
1,01/01/1965,0.072085125,Qatar
1,01/01/1965,0.516251075,Saudi Arabia
1,01/01/1965,0,United Arab Emirates
1,01/01/1965,0.638907997,Algeria
1,01/01/1965,0.040552451,Egypt
1,01/01/1965,0.041816423,Morocco
1,01/01/1965,0,South Africa
1,01/01/1965,0,Eastern Africa
1,01/01/1965,0.002534394,Australia
1,01/01/1965,0,Bangladesh
1,01/01/1965,0.953269906,China
1,01/01/1965,0,China Hong Kong SAR
1,01/01/1965,0.204,India
1,01/01/1965,0.436371453,Indonesia
1,01/01/1965,1.570206363,Japan
1,01/01/1965,0,Malaysia
1,01/01/1965,0,New Zealand
1,01/01/1965,1.270090284,Pakistan
1,01/01/1965,0,Philippines
1,01/01/1965,0,Singapore
1,01/01/1965,0,South Korea
1,01/01/1965,0,Sri Lanka
1,01/01/1965,0.198381341,Taiwan
1,01/01/1965,0,Thailand
1,01/01/1965,0,Vietnam
1,01/01/1966,20.397668745,Canada
1,01/01/1966,7.318436657,Mexico
1,01/01/1966,385.447646041,US
1,01/01/1966,3.839828031,Argentina
1,01/01/1966,0.051625332,Brazil
1,01/01/1966,0.554729149,Chile
1,01/01/1966,0.802773001,Colombia
1,01/01/1966,0,Ecuador
1,01/01/1966,0.32855761,Peru
1,01/01/1966,1.234,Trinidad & Tobago
