Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1965,26.502,Canada
1,01/01/1965,2.005,Mexico
1,01/01/1965,45.022873209,US
1,01/01/1965,0.274,Argentina
1,01/01/1965,5.425,Brazil
1,01/01/1965,0.895,Chile
1,01/01/1965,0.801907378,Colombia
1,01/01/1965,0.078,Ecuador
1,01/01/1965,0.595,Peru
1,01/01/1965,0,Trinidad & Tobago
1,01/01/1965,0.316,Venezuela
1,01/01/1965,3.639181789,Austria
1,01/01/1965,0.061546816,Belgium
1,01/01/1965,0.453,Bulgaria
1,01/01/1965,,Croatia
1,01/01/1965,0,Cyprus
1,01/01/1965,0.505,Czech Republic
1,01/01/1965,0.005,Denmark
1,01/01/1965,,Estonia
1,01/01/1965,2.116471773,Finland
1,01/01/1965,10.608021949,France
1,01/01/1965,3.668418609,Germany
1,01/01/1965,0.188,Greece
1,01/01/1965,0.016,Hungary
1,01/01/1965,0.144974431,Iceland
1,01/01/1965,0.213157895,Ireland
1,01/01/1965,9.647010906,Italy
1,01/01/1965,,Latvia
1,01/01/1965,,Lithuania
1,01/01/1965,0.01955288,Luxembourg
1,01/01/1965,0,Netherlands
1,01/01/1965,,North Macedonia
1,01/01/1965,11.17,Norway
1,01/01/1965,0.204274336,Poland
1,01/01/1965,0.899443363,Portugal
1,01/01/1965,0.226,Romania
1,01/01/1965,0.503,Slovakia
1,01/01/1965,,Slovenia
1,01/01/1965,4.533,Spain
1,01/01/1965,10.511,Sweden
1,01/01/1965,5.452613929,Switzerland
1,01/01/1965,0.493053356,Turkey
1,01/01/1965,0,Ukraine
1,01/01/1965,1.043580577,United Kingdom
1,01/01/1965,,Azerbaijan
1,01/01/1965,,Belarus
1,01/01/1965,,Kazakhstan
1,01/01/1965,,Russian Federation
1,01/01/1965,,Turkmenistan
1,01/01/1965,19.306,USSR
1,01/01/1965,,Uzbekistan
1,01/01/1965,0.389,Iran
1,01/01/1965,0.016,Iraq
1,01/01/1965,0,Israel
1,01/01/1965,0,Kuwait
1,01/01/1965,0,Oman
1,01/01/1965,0,Qatar
1,01/01/1965,0,Saudi Arabia
1,01/01/1965,0,United Arab Emirates
1,01/01/1965,0.089,Algeria
1,01/01/1965,0.392,Egypt
1,01/01/1965,0.274471648,Morocco
1,01/01/1965,0,South Africa
1,01/01/1965,1.388516854,Eastern Africa
1,01/01/1965,1.74,Australia
1,01/01/1965,0,Bangladesh
1,01/01/1965,5,China
1,01/01/1965,0,China Hong Kong SAR
1,01/01/1965,4.337,India
1,01/01/1965,0.413,Indonesia
1,01/01/1965,15.84932923,Japan
1,01/01/1965,0.135,Malaysia
1,01/01/1965,2.267,New Zealand
1,01/01/1965,0.497,Pakistan
1,01/01/1965,0.172,Philippines
1,01/01/1965,0,Singapore
1,01/01/1965,0.160751912,South Korea
1,01/01/1965,0.082590397,Sri Lanka
1,01/01/1965,0.831,Taiwan
1,01/01/1965,0.248,Thailand
1,01/01/1965,0.07693352,Vietnam
1,01/01/1966,29.149,Canada
1,01/01/1966,2.3,Mexico
1,01/01/1966,45.240735636,US
1,01/01/1966,0.278,Argentina
1,01/01/1966,5.934,Brazil
1,01/01/1966,0.942,Chile
1,01/01/1966,0.890894549,Colombia
1,01/01/1966,0.089,Ecuador
1,01/01/1966,0.639,Peru
1,01/01/1966,0,Trinidad & Tobago
1,01/01/1966,0.324,Venezuela
1,01/01/1966,3.921573064,Austria
1,01/01/1966,0.067656243,Belgium
1,01/01/1966,0.455,Bulgaria
1,01/01/1966,,Croatia
1,01/01/1966,0,Cyprus
1,01/01/1966,0.476,Czech Republic
1,01/01/1966,0.005,Denmark
1,01/01/1966,,Estonia
1,01/01/1966,2.348917971,Finland
1,01/01/1966,11.813474499,France
1,01/01/1966,3.967506404,Germany
1,01/01/1966,0.428,Greece
1,01/01/1966,0.024,Hungary
1,01/01/1966,0.14117301,Iceland
1,01/01/1966,0.192105263,Ireland
1,01/01/1966,9.892745622,Italy
1,01/01/1966,,Latvia
1,01/01/1966,,Lithuania
1,01/01/1966,0.017594922,Luxembourg
1,01/01/1966,0,Netherlands
1,01/01/1966,,North Macedonia
1,01/01/1966,11.018,Norway
1,01/01/1966,0.203511789,Poland
1,01/01/1966,1.193827216,Portugal
1,01/01/1966,0.234,Romania
1,01/01/1966,0.482,Slovakia
1,01/01/1966,,Slovenia
1,01/01/1966,6.277474499,Spain
1,01/01/1966,10.303,Sweden
1,01/01/1966,6.226774675,Switzerland
1,01/01/1966,0.529053718,Turkey
1,01/01/1966,0,Ukraine
1,01/01/1966,1.026383672,United Kingdom
1,01/01/1966,,Azerbaijan
1,01/01/1966,,Belarus
1,01/01/1966,,Kazakhstan
1,01/01/1966,,Russian Federation
1,01/01/1966,,Turkmenistan
1,01/01/1966,21.77,USSR
1,01/01/1966,,Uzbekistan
1,01/01/1966,0.418,Iran
1,01/01/1966,0.021,Iraq
1,01/01/1966,0,Israel
1,01/01/1966,0,Kuwait
1,01/01/1966,0,Oman
1,01/01/1966,0,Qatar
1,01/01/1966,0,Saudi Arabia
1,01/01/1966,0,United Arab Emirates
1,01/01/1966,0.082,Algeria
1,01/01/1966,0.413,Egypt
1,01/01/1966,0.238493913,Morocco
1,01/01/1966,0,South Africa
1,01/01/1966,1.638166081,Eastern Africa
1,01/01/1966,1.662,Australia
1,01/01/1966,0,Bangladesh
1,01/01/1966,5.088,China
1,01/01/1966,0,China Hong Kong SAR
1,01/01/1966,4.529,India
1,01/01/1966,0.537,Indonesia
1,01/01/1966,18.059176223,Japan
1,01/01/1966,0.16,Malaysia
1,01/01/1966,2.445,New Zealand
1,01/01/1966,0.497,Pakistan
1,01/01/1966,0.18,Philippines
1,01/01/1966,0,Singapore
1,01/01/1966,0.222953795,South Korea
1,01/01/1966,0.090283749,Sri Lanka
