Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
Canada,0.128,1,1965,0.128
Mexico,-10,1,1965,0
US,3.8491568420000002,1,1965,3.849156842
Argentina,-10,1,1965,0
Brazil,-10,1,1965,0
Chile,-10,1,1965,0
Colombia,-10,1,1965,0
Ecuador,-10,1,1965,0
Peru,-10,1,1965,0
Trinidad and Tobago,-10,1,1965,0
Venezuela,-10,1,1965,0
Austria,-10,1,1965,0
Belgium,-10,1,1965,0
Bulgaria,-10,1,1965,0
Croatia,,1,1965,
Cyprus,-10,1,1965,0
Czech Republic,-10,1,1965,0
Denmark,-10,1,1965,0
Estonia,,1,1965,
Finland,-10,1,1965,0
France,1.0562366000000001,1,1965,1.0562366
Germany,0.1370014,1,1965,0.1370014
Greece,-10,1,1965,0
Hungary,-10,1,1965,0
Iceland,-10,1,1965,0
Ireland,-10,1,1965,0
Italy,3.5752945999999999,1,1965,3.5752946
Latvia,,1,1965,
Lithuania,,1,1965,
Luxembourg,-10,1,1965,0
Netherlands,-10,1,1965,0
North Macedonia,,1,1965,
Norway,-10,1,1965,0
Poland,-10,1,1965,0
Portugal,-10,1,1965,0
Romania,-10,1,1965,0
Slovakia,-10,1,1965,0
Slovenia,,1,1965,
Spain,-10,1,1965,0
Sweden,0.017677600000000002,1,1965,0.0176776
Switzerland,-10,1,1965,0
Turkey,-10,1,1965,0
Ukraine,-10,1,1965,0
United Kingdom,15.136445,1,1965,15.136445
Azerbaijan,,1,1965,
Belarus,,1,1965,
Kazakhstan,,1,1965,
Russian Federation,,1,1965,
Turkmenistan,,1,1965,
USSR,1.8605673999999999,1,1965,1.8605674
Uzbekistan,,1,1965,
Iran,-10,1,1965,0
Iraq,-10,1,1965,0
Israel,-10,1,1965,0
Kuwait,-10,1,1965,0
Oman,-10,1,1965,0
Qatar,-10,1,1965,0
Saudi Arabia,-10,1,1965,0
United Arab Emirates,-10,1,1965,0
Algeria,-10,1,1965,0
Egypt,-10,1,1965,0
Morocco,-10,1,1965,0
South Africa,-10,1,1965,0
Eastern Africa,-10,1,1965,0
Australia,-10,1,1965,0
Bangladesh,-10,1,1965,0
China,-10,1,1965,0
Hong Kong SAR,-10,1,1965,0
India,-10,1,1965,0
Indonesia,-10,1,1965,0
Japan,0.026516399999999999,1,1965,0.0265164
Malaysia,-10,1,1965,0
New Zealand,-10,1,1965,0
Pakistan,-10,1,1965,0
Philippines,-10,1,1965,0
Singapore,-10,1,1965,0
South Korea,-10,1,1965,0
Sri Lanka,-10,1,1965,0
Taiwan,-10,1,1965,0
Thailand,-10,1,1965,0
Vietnam,-10,1,1965,0
Canada,0.17199999999999999,1,1966,0.172
Mexico,-10,1,1966,0
US,5.8104305260000002,1,1966,5.810430526
Argentina,-10,1,1966,0
Brazil,-10,1,1966,0
Chile,-10,1,1966,0
Colombia,-10,1,1966,0
Ecuador,-10,1,1966,0
Peru,-10,1,1966,0
Trinidad and Tobago,-10,1,1966,0
Venezuela,-10,1,1966,0
Austria,-10,1,1966,0
Belgium,0.0060000000000000001,1,1966,0.006
Bulgaria,-10,1,1966,0
Croatia,,1,1966,
Cyprus,-10,1,1966,0
Czech Republic,-10,1,1966,0
Denmark,-10,1,1966,0
Estonia,,1,1966,
Finland,-10,1,1966,0
France,1.6042421999999998,1,1966,1.6042422
Germany,0.34029379999999998,1,1966,0.3402938
Greece,-10,1,1966,0
Hungary,-10,1,1966,0
Iceland,-10,1,1966,0
Ireland,-10,1,1966,0
Italy,3.9288466,1,1966,3.9288466
Latvia,,1,1966,
Lithuania,,1,1966,
Luxembourg,-10,1,1966,0
Netherlands,-10,1,1966,0
North Macedonia,,1,1966,
Norway,-10,1,1966,0
Poland,-10,1,1966,0
Portugal,-10,1,1966,0
Romania,-10,1,1966,0
Slovakia,-10,1,1966,0
Slovenia,,1,1966,
Spain,-10,1,1966,0
Sweden,0.048613400000000001,1,1966,0.0486134
Switzerland,-10,1,1966,0
Turkey,-10,1,1966,0
Ukraine,-10,1,1966,0
United Kingdom,20.218755000000002,1,1966,20.218755
Azerbaijan,,1,1966,
Belarus,,1,1966,
Kazakhstan,,1,1966,
Russian Federation,,1,1966,
Turkmenistan,,1,1966,
USSR,2.0638597999999999,1,1966,2.0638598
Uzbekistan,,1,1966,
Iran,-10,1,1966,0
Iraq,-10,1,1966,0
Israel,-10,1,1966,0
Kuwait,-10,1,1966,0
Oman,-10,1,1966,0
Qatar,-10,1,1966,0
Saudi Arabia,-10,1,1966,0
United Arab Emirates,-10,1,1966,0
Algeria,-10,1,1966,0
Egypt,-10,1,1966,0
Morocco,-10,1,1966,0
South Africa,-10,1,1966,0
Eastern Africa,-10,1,1966,0
Australia,-10,1,1966,0
Bangladesh,-10,1,1966,0
China,-10,1,1966,0
Hong Kong SAR,-10,1,1966,0
India,-10,1,1966,0
Indonesia,-10,1,1966,0
Japan,0.37122959999999999,1,1966,0.3712296
Malaysia,-10,1,1966,0
New Zealand,-10,1,1966,0
Pakistan,-10,1,1966,0
Philippines,-10,1,1966,0
Singapore,-10,1,1966,0
South Korea,-10,1,1966,0
Sri Lanka,-10,1,1966,0
Taiwan,-10,1,1966,0
Thailand,-10,1,1966,0
Vietnam,-10,1,1966,0
Canada,0.153,1,1967,0.153
Mexico,-10,1,1967,0
US,8.0581200000000006,1,1967,8.05812
Argentina,-10,1,1967,0
Brazil,-10,1,1967,0
Chile,-10,1,1967,0
Colombia,-10,1,1967,0
Ecuador,-10,1,1967,0
Peru,-10,1,1967,0
Trinidad and Tobago,-10,1,1967,0
Venezuela,-10,1,1967,0
Austria,-10,1,1967,0
Belgium,0.094,1,1967,0.094
Bulgaria,-10,1,1967,0
Croatia,,1,1967,
Cyprus,-10,1,1967,0
Czech Republic,-10,1,1967,0
Denmark,-10,1,1967,0
Estonia,,1,1967,
Finland,-10,1,1967,0
France,2.9212234000000001,1,1967,2.9212234
Germany,1.5114348,1,1967,1.5114348
Greece,-10,1,1967,0
Hungary,-10,1,1967,0
Iceland,-10,1,1967,0
Ireland,-10,1,1967,0
Italy,3.2040649999999999,1,1967,3.204065
Latvia,,1,1967,
Lithuania,,1,1967,
Luxembourg,-10,1,1967,0
Netherlands,-10,1,1967,0
North Macedonia,,1,1967,
Norway,-10,1,1967,0
Poland,-10,1,1967,0
Portugal,-10,1,1967,0
Romania,-10,1,1967,0
Slovakia,-10,1,1967,0
Slovenia,,1,1967,
Spain,-10,1,1967,0
Sweden,0.048613400000000001,1,1967,0.0486134
Switzerland,-10,1,1967,0
Turkey,-10,1,1967,0
Ukraine,-10,1,1967,0
United Kingdom,23.276979799999999,1,1967,23.2769798
Azerbaijan,,1,1967,
Belarus,,1,1967,
Kazakhstan,,1,1967,
Russian Federation,,1,1967,
Turkmenistan,,1,1967,
USSR,2.2538939999999998,1,1967,2.253894
Uzbekistan,,1,1967,
Iran,-10,1,1967,0
Iraq,-10,1,1967,0
Israel,-10,1,1967,0
Kuwait,-10,1,1967,0
Oman,-10,1,1967,0
Qatar,-10,1,1967,0
Saudi Arabia,-10,1,1967,0
United Arab Emirates,-10,1,1967,0
Algeria,-10,1,1967,0
Egypt,-10,1,1967,0
Morocco,-10,1,1967,0
South Africa,-10,1,1967,0
Eastern Africa,-10,1,1967,0
Australia,-10,1,1967,0
Bangladesh,-10,1,1967,0
China,-10,1,1967,0
Hong Kong SAR,-10,1,1967,0
India,-10,1,1967,0
Indonesia,-10,1,1967,0
Japan,0.84852479999999997,1,1967,0.8485248
Malaysia,-10,1,1967,0
New Zealand,-10,1,1967,0
Pakistan,-10,1,1967,0
Philippines,-10,1,1967,0
Singapore,-10,1,1967,0
South Korea,-10,1,1967,0
Sri Lanka,-10,1,1967,0
Taiwan,-10,1,1967,0
Thailand,-10,1,1967,0
Vietnam,-10,1,1967,0
Canada,0.91800000000000004,1,1968,0.918
Mexico,-10,1,1968,0
US,13.187809469999999,1,1968,13.18780947
Argentina,-10,1,1968,0
Brazil,-10,1,1968,0
Chile,-10,1,1968,0
Colombia,-10,1,1968,0
Ecuador,-10,1,1968,0
Peru,-10,1,1968,0
Trinidad and Tobago,-10,1,1968,0
Venezuela,-10,1,1968,0
Austria,-10,1,1968,0
Belgium,0.060999999999999999,1,1968,0.061
Bulgaria,-10,1,1968,0
Croatia,,1,1968,
Cyprus,-10,1,1968,0
Czech Republic,-10,1,1968,0
Denmark,-10,1,1968,0
Estonia,,1,1968,
Finland,-10,1,1968,0
France,3.5399393999999997,1,1968,3.5399394
Germany,2.0064076000000002,1,1968,2.0064076
Greece,-10,1,1968,0
Hungary,-10,1,1968,0
Iceland,-10,1,1968,0
Ireland,-10,1,1968,0
Italy,2.6207042,1,1968,2.6207042
Latvia,,1,1968,
Lithuania,,1,1968,
Luxembourg,-10,1,1968,0
Netherlands,0.022096999999999999,1,1968,0.022097
North Macedonia,,1,1968,
Norway,-10,1,1968,0
Poland,-10,1,1968,0
Portugal,-10,1,1968,0
Romania,-10,1,1968,0
Slovakia,-10,1,1968,0
Slovenia,,1,1968,
Spain,0.0795492,1,1968,0.0795492
Sweden,0.022096999999999999,1,1968,0.022097
Switzerland,-10,1,1968,0
Turkey,-10,1,1968,0
Ukraine,-10,1,1968,0
United Kingdom,26.193783799999999,1,1968,26.1937838
Azerbaijan,,1,1968,
Belarus,,1,1968,
Kazakhstan,,1,1968,
Russian Federation,,1,1968,
Turkmenistan,,1,1968,
USSR,3.1333546000000001,1,1968,3.1333546
Uzbekistan,,1,1968,
Iran,-10,1,1968,0
Iraq,-10,1,1968,0
Israel,-10,1,1968,0
Kuwait,-10,1,1968,0
Oman,-10,1,1968,0
Qatar,-10,1,1968,0
Saudi Arabia,-10,1,1968,0
United Arab Emirates,-10,1,1968,0
Algeria,-10,1,1968,0
Egypt,-10,1,1968,0
Morocco,-10,1,1968,0
South Africa,-10,1,1968,0
Eastern Africa,-10,1,1968,0
Australia,-10,1,1968,0
Bangladesh,-10,1,1968,0
China,-10,1,1968,0
Hong Kong SAR,-10,1,1968,0
India,-10,1,1968,0
Indonesia,-10,1,1968,0
Japan,0.72036219999999995,1,1968,0.7203622
Malaysia,-10,1,1968,0
New Zealand,-10,1,1968,0
Pakistan,-10,1,1968,0
Philippines,-10,1,1968,0
Singapore,-10,1,1968,0
South Korea,-10,1,1968,0
Sri Lanka,-10,1,1968,0
Taiwan,-10,1,1968,0
Thailand,-10,1,1968,0
Vietnam,-10,1,1968,0
Canada,0.52900000000000003,1,1969,0.529
Mexico,-10,1,1969,0
US,14.660883160000001,1,1969,14.66088316
Argentina,-10,1,1969,0
Brazil,-10,1,1969,0
Chile,-10,1,1969,0
Colombia,-10,1,1969,0
Ecuador,-10,1,1969,0
Peru,-10,1,1969,0
Trinidad and Tobago,-10,1,1969,0
Venezuela,-10,1,1969,0
Austria,-10,1,1969,0
Belgium,0.021999999999999999,1,1969,0.022
Bulgaria,-10,1,1969,0
Croatia,,1,1969,
Cyprus,-10,1,1969,0
Czech Republic,-10,1,1969,0
Denmark,-10,1,1969,0
Estonia,,1,1969,
Finland,-10,1,1969,0
France,4.9585667999999998,1,1969,4.9585668
Germany,5.3297964000000002,1,1969,5.3297964
Greece,-10,1,1969,0
Hungary,-10,1,1969,0
Iceland,-10,1,1969,0
Ireland,-10,1,1969,0
Italy,1.7103078,1,1969,1.7103078
Latvia,,1,1969,
Lithuania,,1,1969,
Luxembourg,-10,1,1969,0
Netherlands,0.3181968,1,1969,0.3181968
North Macedonia,,1,1969,
Norway,-10,1,1969,0
Poland,-10,1,1969,0
Portugal,-10,1,1969,0
Romania,-10,1,1969,0
