Number of Records,Oil_Year,Oil_Value,Countries
1,01/01/1965,55.272395863,Canada
1,01/01/1965,15.343792944,Mexico
1,01/01/1965,565.869387575,US
1,01/01/1965,22.367953036,Argentina
1,01/01/1965,15.282078771,Brazil
1,01/01/1965,3.577502806,Chile
1,01/01/1965,3.959070696,Colombia
1,01/01/1965,0.681052236,Ecuador
1,01/01/1965,3.839385544,Peru
1,01/01/1965,1.908676164,Trinidad & Tobago
1,01/01/1965,9.632309797,Venezuela
1,01/01/1965,5.614572203,Austria
1,01/01/1965,16.205052403,Belgium
1,01/01/1965,3.758854017,Bulgaria
1,01/01/1965,,Croatia
1,01/01/1965,0.402429111,Cyprus
1,01/01/1965,4.045304146,Czech Republic
1,01/01/1965,10.586882703,Denmark
1,01/01/1965,,Estonia
1,01/01/1965,5.802707008,Finland
1,01/01/1965,54.798059855,France
1,01/01/1965,87.753205288,Germany
1,01/01/1965,4.494688545,Greece
1,01/01/1965,3.806800659,Hungary
1,01/01/1965,0.482585196,Iceland
1,01/01/1965,2.452464651,Ireland
1,01/01/1965,52.514039696,Italy
1,01/01/1965,,Latvia
1,01/01/1965,,Lithuania
1,01/01/1965,0.845431093,Luxembourg
1,01/01/1965,25.443210495,Netherlands
1,01/01/1965,,North Macedonia
1,01/01/1965,5.186287212,Norway
1,01/01/1965,5.539532101,Poland
1,01/01/1965,2.625065635,Portugal
1,01/01/1965,7.270542419,Romania
1,01/01/1965,2.325631891,Slovakia
1,01/01/1965,,Slovenia
1,01/01/1965,14.306222342,Spain
1,01/01/1965,19.750924083,Sweden
1,01/01/1965,8.287151261,Switzerland
1,01/01/1965,3.610382153,Turkey
1,01/01/1965,,Ukraine
1,01/01/1965,76.158172638,United Kingdom
1,01/01/1965,,Azerbaijan
1,01/01/1965,,Belarus
1,01/01/1965,,Kazakhstan
1,01/01/1965,,Russian Federation
1,01/01/1965,,Turkmenistan
1,01/01/1965,171.526187565,USSR
1,01/01/1965,,Uzbekistan
1,01/01/1965,7.235360112,Iran
1,01/01/1965,1.326577054,Iraq
1,01/01/1965,3.93250325,Israel
1,01/01/1965,5.488030807,Kuwait
1,01/01/1965,0.455024864,Oman
1,01/01/1965,0.049246178,Qatar
1,01/01/1965,19.702110872,Saudi Arabia
