2017 Total,2018 Growth rate Other renewables+,2018 Growth rate Solar,2018 Growth rate Wind,2018 Total,Number of Records,Other renewables+ 1,Other renewables+,Solar 1,Solar,Terawatt-hours,Total,Wind 1,Wind
42.082832376,-0.013974026,0.077167848,0.106789135,45.304937950,1,9.588635536,9.724526316,3.546250900,3.292198990,Canada,0.076565796,32.170051515,29.066107071
19.130738008,-0.115253196,0.890255751,0.189215299,21.352290759,1,6.480283932,7.324450230,2.2428,1.186506111,Mexico,0.116124780,12.629206827,10.619781667
417.757770888,0.010228288,0.244202598,0.081199122,458.524324721,1,83.677036842,82.829829474,97.118181818,78.056565657,US,0.097584190,277.729106061,256.871375758
478.971341272,-0.001330109,0.246827348,0.087575329,525.181553430,1,99.745956310,99.878806020,102.907232718,82.535270758,Total North America,0.096478032,322.528364403,296.557264495
3.011638508,-0.036379055,5.586375586,1.309967320,3.817767722,1,2.296939410,2.383654508,0.108128528,0.016417,Argentina,0.267671307,1.412699784,0.611567
94.477756381,0.031543117,2.771372762,0.144115630,104.506970492,1,52.889985033,51.272684731,3.137078404,0.831813401,Brazil,0.106154237,48.479907054,42.373258248
14.452670753,-0.027960040,0.313857479,0.017418220,15.544798465,1,6.737367486,6.931163081,5.118720829,3.895948315,Chile,0.075565806,3.688710149,3.625559357
1.994330703,0.049003600,0,13.142437690,2.144275333,1,2.088838157,1.991259284,0.011999821,0,Colombia,0.075185439,0.043437355,0.003071419
0.54173,-0.006689912,0.013648294,0.093430127,0.546216961,1,0.427967651,0.43085,0.037991538,0.03748,Ecuador,0.008282652,0.080257771,0.0734
1.937982950,0.168120848,1.594679057,0.391456088,2.913241547,1,0.674414968,0.577350339,0.745192715,0.287200343,Peru,0.503233837,1.493633864,1.073432268
0.003989071,0,0,0,0.003989071,1,0,0,0.003989071,0.003989071,Trinidad & Tobago,0,0,0
0.010008089,0,0,0,0.010008089,1,0,0,0.010008089,0.010008089,Venezuela,0,0,0
22.935774460,0.058579773,0.373264121,0.274232124,26.830805071,1,12.908367494,12.194043216,3.258417816,2.372753913,Other S. & Cent. America,0.169823374,10.664019761,8.368977331
139.365880914,0.029596797,0.667405698,0.173410430,156.318072751,1,78.023880201,75.781005159,12.431526812,7.455610131,Total S. & Cent. America,0.121638035,65.862665739,56.129265623
12.484402389,0.026356707,0.244032742,-0.102590973,12.241908315,1,4.763252129,4.640932433,1.578641473,1.268971,Austria,-0.019423763,5.900014713,6.574498956
15.5607,-0.058126833,0.208092293,0.147140617,16.867842052,1,5.427544126,5.7625,3.971724224,3.2876,Belgium,0.084002780,7.468573702,6.5106
7.748973,-0.047550370,0.066214151,0.030898183,7.6764,1,4.7285,4.964567,2.3386,2.193368,Czech Republic,-0.009365499,0.6093,0.591038
16.676905263,0.086464761,2.720183486,0.221429763,18.880884211,1,12.861684211,11.838105263,0.1622,0.0436,Finland,0.132157550,5.857,4.7952
41.474569570,0.065863048,0.108695652,0.158333333,46.847291073,1,8.521197318,7.994645594,10.158712720,9.162760493,France,0.129542550,28.167381035,24.317163483
196.188,0.006713117,0.171645390,0.055793667,209.191,1,51.437,51.094,46.164,39.401,Germany,0.066278264,111.59,105.693
9.838492,-0.037818086,-0.050203220,0.137851525,10.389664440,1,0.298303335,0.310028,3.791092002,3.991477,Greece,0.056022045,6.300269103,5.536987
3.247,0.108029197,0.687323944,-0.197889182,3.568058538,1,2.371182482,2.14,0.588876056,0.349,Hungary,0.098878515,0.608,0.758
67.699,-0.010445970,-0.047050006,-0.015183395,66.015445143,1,25.312198354,25.5794,23.230729063,24.3777,Italy,-0.024868238,17.472517725,17.7419
17.372496,0.060119660,0.452222110,-0.001852244,18.626285296,1,4.875860296,4.599349,3.2012,2.204346,Netherlands,0.072170936,10.549225,10.568801
3.104753574,-0.151111176,0.582402235,0.358052207,4.118636200,1,0.178266653,0.21,0.064488547,0.040753574,Norway,0.326558164,3.875881,2.854
21.562,-0.024198520,0.812121212,-0.138439869,19.475,1,6.331,6.488,0.299,0.165,Poland,-0.096790650,12.845,14.909
16.677,0.000581903,0.028225806,0.033393207,17.116,1,3.439,3.437,1.02,0.992,Portugal,0.026323679,12.657,12.248
9.788168,-0.120833333,-0.098060345,-0.122856757,8.6327102,1,0.4617102,0.525168,1.674,1.856,Romania,-0.118046380,6.497,7.407
69.52567117,0.214037770,-0.125699307,0.034787553,70.735502428,1,7.378921565,6.078,12.520572726,14.32067117,Spain,0.017401217,50.836008137,49.127
29.915,-0.017993238,0.622174570,-0.045181927,29.045205258,1,11.858713663,12.076,0.373100151,0.23,Sweden,-0.029075539,16.813391443,17.609
3.654,0.074032319,0.163025210,0,4.064442830,1,1.974071402,1.838,1.957371429,1.683,Switzerland,0.112326992,0.133,0.133
29.0446,0.209935988,1.731005461,0.107345759,37.700177885,1,9.983786807,8.2515,7.890694078,2.8893,Turkey,0.298009884,19.825697,17.9038
1.8963,0.337003872,0.697064199,0.156544932,2.6324,1,0.218506543,0.16343,1.286493457,0.75807,Ukraine,0.388176976,1.1274,0.9748
93.401699509,0.116506438,0.121211356,0.142230857,105.624137423,1,35.586602453,31.873172638,12.921815351,11.524870210,United Kingdom,0.130858839,57.115719619,50.003656661
0.875654202,0.183214180,0.148362898,0.808212746,1.206261799,1,0.233316620,0.197188830,0.441810565,0.384730790,Other Europe,0.377554972,0.531134615,0.293734582
717.074390416,0.045126123,0.116503990,0.052233379,761.054039749,1,217.632496925,208.235630192,139.052062717,124.542378658,Total Europe,0.061332060,404.369480107,384.296381567
0.14445,-0.047563124,0.055376344,2.719457014,0.20256,1,0.0811,0.08515,0.03926,0.0372,Azerbaijan,0.402284528,0.0822,0.0221
0.292,0.029711612,0.511078287,0.216269841,0.361613573,1,0.109149431,0.106,0.134485968,0.089,Belarus,0.238402647,0.117978175,0.097
