Year_Solar_Cons,Values_Solar_Cons,Countries
01/01/1965,0,Canada
01/01/1965,0,Mexico
01/01/1965,0,US
01/01/1965,0,Argentina
01/01/1965,0,Brazil
01/01/1965,0,Chile
01/01/1965,0,Colombia
01/01/1965,0,Ecuador
01/01/1965,0,Peru
01/01/1965,0,Trinidad & Tobago
01/01/1965,0,Venezuela
01/01/1965,0,Austria
01/01/1965,0,Belgium
01/01/1965,0,Bulgaria
01/01/1965,,Croatia
01/01/1965,0,Cyprus
01/01/1965,0,Czech Republic
01/01/1965,0,Denmark
01/01/1965,,Estonia
01/01/1965,0,Finland
01/01/1965,0,France
01/01/1965,0,Germany
01/01/1965,0,Greece
01/01/1965,0,Hungary
01/01/1965,0,Iceland
01/01/1965,0,Ireland
01/01/1965,0,Italy
01/01/1965,,Latvia
01/01/1965,,Lithuania
01/01/1965,0,Luxembourg
01/01/1965,0,Netherlands
01/01/1965,,North Macedonia
01/01/1965,0,Norway
01/01/1965,0,Poland
01/01/1965,0,Portugal
01/01/1965,0,Romania
01/01/1965,0,Slovakia
01/01/1965,,Slovenia
01/01/1965,0,Spain
01/01/1965,0,Sweden
01/01/1965,0,Switzerland
01/01/1965,0,Turkey
01/01/1965,0,Ukraine
01/01/1965,0,United Kingdom
01/01/1965,,Azerbaijan
01/01/1965,,Belarus
01/01/1965,,Kazakhstan
01/01/1965,,Russian Federation
01/01/1965,,Turkmenistan
01/01/1965,0,USSR
01/01/1965,,Uzbekistan
01/01/1965,0,Iran
01/01/1965,0,Iraq
01/01/1965,0,Israel
01/01/1965,0,Kuwait
01/01/1965,0,Oman
01/01/1965,0,Qatar
01/01/1965,0,Saudi Arabia
01/01/1965,0,United Arab Emirates
01/01/1965,0,Algeria
01/01/1965,0,Egypt
01/01/1965,0,Morocco
01/01/1965,0,South Africa
01/01/1965,0,Eastern Africa
01/01/1965,0,Australia
01/01/1965,0,Bangladesh
01/01/1965,0,China
01/01/1965,0,China Hong Kong SAR
01/01/1965,0,India
01/01/1965,0,Indonesia
01/01/1965,0,Japan
01/01/1965,0,Malaysia
01/01/1965,0,New Zealand
01/01/1965,0,Pakistan
01/01/1965,0,Philippines
01/01/1965,0,Singapore
01/01/1965,0,South Korea
01/01/1965,0,Sri Lanka
01/01/1965,0,Taiwan
01/01/1965,0,Thailand
01/01/1965,0,Vietnam
01/01/1966,0,Canada
01/01/1966,0,Mexico
01/01/1966,0,US
01/01/1966,0,Argentina
01/01/1966,0,Brazil
01/01/1966,0,Chile
01/01/1966,0,Colombia
01/01/1966,0,Ecuador
01/01/1966,0,Peru
01/01/1966,0,Trinidad & Tobago
01/01/1966,0,Venezuela
01/01/1966,0,Austria
01/01/1966,0,Belgium
01/01/1966,0,Bulgaria
01/01/1966,,Croatia
01/01/1966,0,Cyprus
01/01/1966,0,Czech Republic
01/01/1966,0,Denmark
01/01/1966,,Estonia
01/01/1966,0,Finland
01/01/1966,0,France
01/01/1966,0,Germany
01/01/1966,0,Greece
01/01/1966,0,Hungary
01/01/1966,0,Iceland
01/01/1966,0,Ireland
01/01/1966,0,Italy
01/01/1966,,Latvia
01/01/1966,,Lithuania
01/01/1966,0,Luxembourg
01/01/1966,0,Netherlands
01/01/1966,,North Macedonia
01/01/1966,0,Norway
01/01/1966,0,Poland
01/01/1966,0,Portugal
01/01/1966,0,Romania
01/01/1966,0,Slovakia
01/01/1966,,Slovenia
01/01/1966,0,Spain
01/01/1966,0,Sweden
01/01/1966,0,Switzerland
01/01/1966,0,Turkey
01/01/1966,0,Ukraine
01/01/1966,0,United Kingdom
01/01/1966,,Azerbaijan
01/01/1966,,Belarus
01/01/1966,,Kazakhstan
01/01/1966,,Russian Federation
01/01/1966,,Turkmenistan
01/01/1966,0,USSR
01/01/1966,,Uzbekistan
01/01/1966,0,Iran
01/01/1966,0,Iraq
01/01/1966,0,Israel
01/01/1966,0,Kuwait
01/01/1966,0,Oman
01/01/1966,0,Qatar
01/01/1966,0,Saudi Arabia
01/01/1966,0,United Arab Emirates
01/01/1966,0,Algeria
01/01/1966,0,Egypt
01/01/1966,0,Morocco
01/01/1966,0,South Africa
01/01/1966,0,Eastern Africa
01/01/1966,0,Australia
01/01/1966,0,Bangladesh
01/01/1966,0,China
01/01/1966,0,China Hong Kong SAR
01/01/1966,0,India
01/01/1966,0,Indonesia
01/01/1966,0,Japan
01/01/1966,0,Malaysia
01/01/1966,0,New Zealand
01/01/1966,0,Pakistan
01/01/1966,0,Philippines
01/01/1966,0,Singapore
01/01/1966,0,South Korea
01/01/1966,0,Sri Lanka
01/01/1966,0,Taiwan
01/01/1966,0,Thailand
01/01/1966,0,Vietnam
01/01/1967,0,Canada
01/01/1967,0,Mexico
01/01/1967,0,US
01/01/1967,0,Argentina
01/01/1967,0,Brazil
01/01/1967,0,Chile
01/01/1967,0,Colombia
01/01/1967,0,Ecuador
01/01/1967,0,Peru
01/01/1967,0,Trinidad & Tobago
01/01/1967,0,Venezuela
01/01/1967,0,Austria
01/01/1967,0,Belgium
01/01/1967,0,Bulgaria
01/01/1967,,Croatia
01/01/1967,0,Cyprus
01/01/1967,0,Czech Republic
01/01/1967,0,Denmark
01/01/1967,,Estonia
01/01/1967,0,Finland
01/01/1967,0,France
01/01/1967,0,Germany
01/01/1967,0,Greece
01/01/1967,0,Hungary
01/01/1967,0,Iceland
01/01/1967,0,Ireland
01/01/1967,0,Italy
01/01/1967,,Latvia
01/01/1967,,Lithuania
01/01/1967,0,Luxembourg
01/01/1967,0,Netherlands
01/01/1967,,North Macedonia
01/01/1967,0,Norway
01/01/1967,0,Poland
01/01/1967,0,Portugal
01/01/1967,0,Romania
01/01/1967,0,Slovakia
01/01/1967,,Slovenia
01/01/1967,0,Spain
01/01/1967,0,Sweden
01/01/1967,0,Switzerland
01/01/1967,0,Turkey
01/01/1967,0,Ukraine
01/01/1967,0,United Kingdom
01/01/1967,,Azerbaijan
01/01/1967,,Belarus
01/01/1967,,Kazakhstan
01/01/1967,,Russian Federation
01/01/1967,,Turkmenistan
01/01/1967,0,USSR
01/01/1967,,Uzbekistan
01/01/1967,0,Iran
01/01/1967,0,Iraq
01/01/1967,0,Israel
01/01/1967,0,Kuwait
01/01/1967,0,Oman
01/01/1967,0,Qatar
01/01/1967,0,Saudi Arabia
01/01/1967,0,United Arab Emirates
01/01/1967,0,Algeria
