Number of Records,Year_Wind,Values_Wind,Countries
1,01/01/1965,0,Canada
1,01/01/1965,0,Mexico
1,01/01/1965,0,US
1,01/01/1965,0,Argentina
1,01/01/1965,0,Brazil
1,01/01/1965,0,Chile
1,01/01/1965,0,Colombia
1,01/01/1965,0,Ecuador
1,01/01/1965,0,Peru
1,01/01/1965,0,Trinidad & Tobago
1,01/01/1965,0,Venezuela
1,01/01/1965,0,Austria
1,01/01/1965,0,Belgium
1,01/01/1965,0,Bulgaria
1,01/01/1965,,Croatia
1,01/01/1965,0,Cyprus
1,01/01/1965,0,Czech Republic
1,01/01/1965,0,Denmark
1,01/01/1965,,Estonia
1,01/01/1965,0,Finland
1,01/01/1965,0,France
1,01/01/1965,0,Germany
1,01/01/1965,0,Greece
1,01/01/1965,0,Hungary
1,01/01/1965,0,Iceland
1,01/01/1965,0,Ireland
1,01/01/1965,0,Italy
1,01/01/1965,,Latvia
1,01/01/1965,,Lithuania
1,01/01/1965,0,Luxembourg
1,01/01/1965,0,Netherlands
1,01/01/1965,,North Macedonia
1,01/01/1965,0,Norway
1,01/01/1965,0,Poland
1,01/01/1965,0,Portugal
1,01/01/1965,0,Romania
1,01/01/1965,0,Slovakia
1,01/01/1965,,Slovenia
1,01/01/1965,0,Spain
1,01/01/1965,0,Sweden
1,01/01/1965,0,Switzerland
1,01/01/1965,0,Turkey
1,01/01/1965,0,Ukraine
1,01/01/1965,0,United Kingdom
1,01/01/1965,,Azerbaijan
1,01/01/1965,,Belarus
1,01/01/1965,,Kazakhstan
1,01/01/1965,,Russian Federation
1,01/01/1965,,Turkmenistan
1,01/01/1965,0,USSR
1,01/01/1965,,Uzbekistan
1,01/01/1965,0,Iran
1,01/01/1965,0,Iraq
1,01/01/1965,0,Israel
1,01/01/1965,0,Kuwait
1,01/01/1965,0,Oman
1,01/01/1965,0,Qatar
1,01/01/1965,0,Saudi Arabia
1,01/01/1965,0,United Arab Emirates
1,01/01/1965,0,Algeria
1,01/01/1965,0,Egypt
1,01/01/1965,0,Morocco
1,01/01/1965,0,South Africa
1,01/01/1965,0,Eastern Africa
1,01/01/1965,0,Australia
1,01/01/1965,0,Bangladesh
1,01/01/1965,0,China
1,01/01/1965,0,China Hong Kong SAR
1,01/01/1965,0,India
1,01/01/1965,0,Indonesia
1,01/01/1965,0,Japan
1,01/01/1965,0,Malaysia
1,01/01/1965,0,New Zealand
1,01/01/1965,0,Pakistan
1,01/01/1965,0,Philippines
1,01/01/1965,0,Singapore
1,01/01/1965,0,South Korea
1,01/01/1965,0,Sri Lanka
1,01/01/1965,0,Taiwan
1,01/01/1965,0,Thailand
1,01/01/1965,0,Vietnam
1,01/01/1966,0,Canada
1,01/01/1966,0,Mexico
1,01/01/1966,0,US
1,01/01/1966,0,Argentina
1,01/01/1966,0,Brazil
1,01/01/1966,0,Chile
1,01/01/1966,0,Colombia
1,01/01/1966,0,Ecuador
1,01/01/1966,0,Peru
1,01/01/1966,0,Trinidad & Tobago
1,01/01/1966,0,Venezuela
1,01/01/1966,0,Austria
1,01/01/1966,0,Belgium
1,01/01/1966,0,Bulgaria
1,01/01/1966,,Croatia
1,01/01/1966,0,Cyprus
1,01/01/1966,0,Czech Republic
1,01/01/1966,0,Denmark
1,01/01/1966,,Estonia
1,01/01/1966,0,Finland
1,01/01/1966,0,France
1,01/01/1966,0,Germany
1,01/01/1966,0,Greece
1,01/01/1966,0,Hungary
1,01/01/1966,0,Iceland
1,01/01/1966,0,Ireland
1,01/01/1966,0,Italy
1,01/01/1966,,Latvia
